iter	Passed	Remaining
0	14	4288
1	38	5709
2	60	6027
3	87	6458
4	102	6066
5	115	5638
6	130	5459
7	143	5242
8	158	5128
9	183	5335
10	201	5281
11	220	5285
12	234	5187
13	246	5044
14	261	4973
15	277	4922
16	302	5034
17	321	5030
18	342	5058
19	357	5006
20	372	4945
21	394	4982
22	426	5141
23	444	5111
24	458	5046
25	476	5022
26	491	4970
27	517	5022
28	530	4957
29	541	4874
30	556	4832
31	570	4779
32	584	4727
33	645	5050
34	666	5043
35	692	5077
36	763	5429
37	848	5850
38	866	5797
39	935	6079
40	954	6029
41	1021	6272
42	1086	6494
43	1136	6611
44	1168	6624
45	1192	6587
46	1209	6513
47	1223	6421
48	1242	6365
49	1269	6347
50	1302	6360
51	1344	6414
52	1368	6379
53	1391	6338
54	1409	6277
55	1445	6297
56	1496	6377
57	1520	6344
58	1561	6376
59	1607	6429
60	1654	6481
61	1706	6549
62	1745	6566
63	1777	6555
64	1813	6556
65	1840	6526
66	1873	6516
67	1901	6487
68	1923	6438
69	1953	6419
70	1975	6372
71	2009	6362
72	2029	6311
73	2050	6261
74	2079	6238
75	2102	6196
76	2117	6132
77	2151	6124
78	2179	6095
79	2206	6066
80	2231	6032
81	2249	5981
82	2274	5946
83	2294	5900
84	2324	5880
85	2354	5859
86	2385	5840
87	2436	5870
88	2462	5838
89	2488	5807
90	2556	5871
91	2619	5923
92	2703	6018
93	2725	5972
94	2819	6084
95	2918	6201
96	2940	6153
97	3113	6418
98	3140	6377
99	3325	6650
100	3350	6601
101	3435	6669
102	3509	6712
103	3578	6744
104	3591	6670
105	3614	6615
106	3639	6565
107	3701	6579
108	3740	6553
109	3814	6589
110	3831	6523
111	3850	6462
112	3878	6417
113	3900	6364
114	3931	6324
115	3948	6263
116	3972	6212
117	4001	6172
118	4031	6131
119	4086	6130
120	4110	6081
121	4181	6100
122	4204	6050
123	4262	6050
124	4291	6007
125	4331	5981
126	4365	5946
127	4408	5923
128	4457	5909
129	4481	5860
130	4500	5806
131	4523	5756
132	4548	5711
133	4571	5663
134	4607	5631
135	4631	5585
136	4666	5551
137	4720	5541
138	4756	5509
139	4777	5460
140	4792	5404
141	4806	5348
142	4821	5293
143	4840	5243
144	4861	5196
145	4879	5146
146	4894	5093
147	4907	5040
148	4920	4986
149	4939	4939
150	4955	4889
151	4970	4840
152	4991	4796
153	5014	4753
154	5032	4707
155	5045	4657
156	5058	4607
157	5075	4561
158	5101	4523
159	5117	4477
160	5134	4432
161	5154	4390
162	5169	4345
163	5189	4303
164	5205	4258
165	5221	4215
166	5237	4170
167	5254	4128
168	5271	4086
169	5287	4043
170	5300	3998
171	5317	3957
172	5333	3915
173	5354	3877
174	5369	3835
175	5385	3794
176	5404	3755
177	5436	3726
178	5469	3697
179	5486	3657
180	5501	3617
181	5517	3577
182	5543	3544
183	5562	3506
184	5584	3471
185	5598	3431
186	5613	3392
187	5626	3352
188	5642	3313
189	5655	3274
190	5674	3238
191	5690	3200
192	5701	3160
193	5715	3122
194	5732	3086
195	5745	3048
196	5761	3012
197	5781	2978
198	5805	2946
199	5826	2913
200	5857	2884
201	5878	2851
202	5925	2831
203	5944	2797
204	5976	2769
205	6009	2742
206	6044	2715
207	6063	2681
208	6084	2649
209	6101	2615
210	6125	2583
211	6144	2550
212	6163	2517
213	6177	2482
214	6193	2448
215	6219	2418
216	6237	2385
217	6258	2354
218	6272	2319
219	6289	2287
220	6308	2254
221	6329	2223
222	6349	2192
223	6361	2158
224	6375	2125
225	6417	2101
226	6428	2067
227	6441	2034
228	6458	2002
229	6538	1990
230	6567	1961
231	6599	1934
232	6618	1903
233	6636	1871
234	6652	1839
235	6670	1808
236	6690	1778
237	6718	1750
238	6740	1720
239	6768	1692
240	6800	1664
241	6821	1634
242	6846	1605
243	6862	1574
244	6873	1543
245	6890	1512
246	6940	1489
247	7062	1480
248	7151	1464
249	7201	1440
250	7305	1426
251	7331	1396
252	7451	1384
253	7517	1361
254	7568	1335
255	7680	1320
256	7757	1297
257	7778	1266
258	7805	1235
259	7828	1204
260	7864	1175
261	7906	1146
262	7932	1115
263	7974	1087
264	7993	1055
265	8198	1047
266	8248	1019
267	8382	1000
268	8420	970
269	8477	941
270	8564	916
271	8606	886
272	8627	853
273	8658	821
274	8678	788
275	8696	756
276	8725	724
277	8762	693
278	8788	661
279	8807	629
280	8826	596
281	8844	564
282	8863	532
283	8882	500
284	8895	468
285	8910	436
286	8941	405
287	8953	373
288	8967	341
289	8983	309
290	8997	278
291	9011	246
292	9027	215
293	9046	184
294	9063	153
295	9083	122
296	9097	91
297	9129	61
298	9150	30
299	9166	0
