location,tasks,actual_overdue_rate,mean_predicted_risk
Quality Control>ITP 02 Architectural>Elevations>Pool Elevations>East West Pool Elevations,4,1.0,0.9965633765024066
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>WC's & Shower Rooms>19-L3-21 Male WC,1,1.0,0.9963068574925164
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Lobbies>19-L2-40 Lobby,1,1.0,0.9955835672665688
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-54 Office 14,1,1.0,0.9954181832956832
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>6th to 7th Floor,1,1.0,0.9868630769471436
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pantry,1,1.0,0.9863368910617384
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl 00 Lower Ground,1,1.0,0.9862191284880456
Quality Control & BC(A)R>ITP 01 Structural>New Building>Lvl 01  Floor Plan,3,1.0,0.9842256787768099
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Linen Store,3,1.0,0.9837686509964554
Quality Control>ITP 01 Structural>LV -01 Basement,5,1.0,0.9828558999688012
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>7th floor to Roof,3,1.0,0.9819029467030024
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>WC's & Locker Rooms>19-L1-47 Male WC,1,1.0,0.9813179639637762
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan,1,1.0,0.9808931845610884
Quality Control & BC(A)R>ITP 01 Structural>New Building>Lvl 00 Ground Floor Plan,2,1.0,0.9799158921177775
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Pool Shower 1,1,1.0,0.9794090554879494
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,8,0.875,0.9773168655494625
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Stairs>I9- L1-01 Stair 1,1,1.0,0.977072274759537
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>WC,2,1.0,0.9745309582825278
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan>Rooms>RM.1.105,1,1.0,0.9744172519252672
Quality Control & BC(A)R>ITP 01 Structural>New Building>Lvl-01 Basement,4,1.0,0.9736292199859833
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Services and Risers>19-L2-49 Service Void,1,1.0,0.9734704763078414
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3,2,0.5,0.9678277056877282
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>4th to 5th Floor,2,1.0,0.9674886909301876
Quality Control & BC(A)R>ITP 01 Structural,1,1.0,0.9632717012274492
Quality Control>ITP 01 Structural>Lvl 00 Ground Floor,3,1.0,0.9607285330184031
Quality Control & BC(A)R>ITP 01 Structural>Substation 5&6,1,1.0,0.9603628593051604
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-10 Open Office,2,0.5,0.9568799317595142
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 00 Ground Floor>Unit 105,8,1.0,0.9553629336618126
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>19-L1-54 Janitor,1,1.0,0.947698890807588
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations,1,1.0,0.94562046723885
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>6. Townsend Street (North Elevation)>2nd to 3rd Floor,1,0.0,0.9429085477481988
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Stores>19-L1-09 Store,1,1.0,0.94230082603698
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 00 Ground Floor>Unit 113,1,0.0,0.9389373591425652
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2,1,1.0,0.9369256611654436
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,5,0.6,0.9347392602786286
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>19-l1-07 Gen purpose 3,1,1.0,0.9289448857123076
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Corridors>19-L2-54 Corridor,1,1.0,0.9078685051972296
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Utillities Corridor,2,0.5,0.9063567960845749
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Reception,2,0.5,0.9057252217828505
QC & BC(A)R>ITP 01 Structural>Block 3>7th Floor Plan,1,1.0,0.8922239664813363
Quality Control & BC(A)R>ITP 03 Civil Works>02 Drainage>Foul Water,2,0.0,0.8861369237755536
Items to Be Deleted,2,0.5,0.8828072589360589
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>6. Townsend Street (North Elevation),1,0.0,0.8800417663472432
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2>RM.01.132,1,1.0,0.8784892469505127
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Family 1,1,1.0,0.8776724296408541
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>3. Courtyard (West Elevation)>7th floor to Roof,1,1.0,0.8752180322308881
Quality Control & BC(A)R>ITP 03 Civil Works>02 Drainage>Surface Water,2,1.0,0.872364137264546
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>1. Bracken Lane (South Elevation)>4th to 5th Floor,1,0.0,0.8722103855952359
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 01 First Floor,1,1.0,0.8717104443860574
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 02 Roof,6,0.5,0.8575906335130762
Quality Control & BC(A)R>ITP 02 Architectural>Block C>Lvl 00 Ground Floor,1,0.0,0.8501112154651018
Quality Control>ITP 01 Structural,1,1.0,0.8478324415926766
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 3,4,0.5,0.8473184056083238
Quality Control & BC(A)R>ITP 03 Civil Works>01 Lanscaping,5,0.4,0.84644193507894
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 01 Mezzanine,3,0.6666666666666666,0.8369040923788545
Quality Control & BC(A)R>ITP 01 Structural>Block 1 & 2>3rd Floor Plan,1,1.0,0.8365766306193649
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 01 First Floor>Unit 111 Mezzanine,1,0.0,0.8331604097013444
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Meeting Rooms>Meeting 6,1,1.0,0.833039416154696
"Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Acc, WC/ Shower",1,1.0,0.8322223662746698
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Data Room,1,0.0,0.8295770277420388
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 00 Ground Floor>Unit 107,1,1.0,0.8142524419231644
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2>RM.01.140,1,0.0,0.8113182270146565
QC & BC(A)R>ITP 01 Structural>Block 2>1st Floor Plan,1,0.0,0.8101943265326551
Quality Control & BC(A)R>ITP 01 Structural>Block B>Elevations,4,0.5,0.8022405300850068
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-51 Office 11,1,0.0,0.8010660305506871
Quality Control & BC(A)R>ITP 01 Structural>Block 1 & 2>1st Floor Plan,5,0.8,0.7829759086206847
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,8,0.875,0.7654699740634269
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>19-L3-02 PA Area,1,1.0,0.7654319135437866
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 00 Ground Floor>Unit 110,1,1.0,0.7625144551497015
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Foundation,5,0.2,0.7553973111917197
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Corridors>19-L2-31 Corridor,1,0.0,0.7546443804581289
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 00 Ground Floor,6,0.3333333333333333,0.7434807979146791
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>19-L3-24 Social Hub,1,0.0,0.7320318529554686
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Offices>19-L2-09 Open Office,2,0.5,0.7314010079556003
Quality Control & BC(A)R>ITP 01 Structural>Block A>Elevations,1,0.0,0.7300345366245187
Quality Control & BC(A)R>ITP 01 Structural>Block A,2,0.0,0.7242891040206436
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Cold / Freezer Rooms,3,0.6666666666666666,0.7211419128477813
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Services and Risers,1,1.0,0.713525779051365
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Stairs>19-L1-04 Stair 4,1,0.0,0.7084510507675683
Quality Control & BC(A)R>ITP 02 Architectural>Block A>Lvl 00 Ground Floor>Unit 93,2,0.5,0.6949867584870365
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>3rd to 4th Floor,2,0.5,0.6925042259032363
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 00 Ground Floor>Unit 111,3,0.3333333333333333,0.6805361150705944
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Stairs>19-L1-01 Stair 1,1,0.0,0.6784673299110675
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl -00 Foundation,1,0.0,0.6704568954747954
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,7,0.14285714285714285,0.6671694259115102
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Stores>19-L1-56 Store,1,1.0,0.6609221919002152
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Common Areas>RM.02.335 - Corridor,2,0.0,0.6598065917115006
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>3. Courtyard (West Elevation)>2nd to 3rd Floor,1,0.0,0.6529939935791681
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Offices>19-L1-70 Open Office 2,3,0.6666666666666666,0.6472999570961454
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>Ground Floor Plan,4,0.25,0.6443979303127176
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>4. Courtyard (South Elevation),1,0.0,0.6424327373626629
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>19-L2-29 Clean Hold,1,0.0,0.6405040017538385
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>2nd Floor Plan>Rooms>RM.2.221,2,0.0,0.6364091088173701
Quality Control & BC(A)R>ITP 02 Architectural>Block A>Lvl 00 Ground Floor,2,0.0,0.6355771170719231
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Offices,1,0.0,0.6249014381103244
Quality Control & BC(A)R>ITP 01 Structural>Carpark Entrance Building>Lvl 00 Lower Ground,1,0.0,0.624069815477485
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Meeting Rooms>Meeting 4,2,1.0,0.6153653102713381
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2>RM.01.145,1,0.0,0.611659452543541
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,2,0.5,0.6101000814080246
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-52 Office 12,1,0.0,0.61003770879992
Quality Control & BC(A)R>ITP 01 Structural>Block A>Lvl -00 Foundation,1,0.0,0.6070068101435069
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>19-L3-30 Data Room,2,0.0,0.6002265009677555
Quality Control & BC(A)R>ITP 03 Civil Works>03 Ducting,4,0.0,0.5998298469341351
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 1>RM.01.108,1,0.0,0.583996346764944
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2,2,0.0,0.5737535062069512
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Stores>19-L1-12 Facilities Store,1,0.0,0.5727409496174998
QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,1,0.0,0.5608653511767157
Quality Control & BC(A)R>ITP 02 Architectural>Block A>Lvl 00 Ground Floor>Unit 92,1,0.0,0.5559276988194211
Quality Control>ITP 02 Architectural>Lvl 01 Floor Plan>Paddle Club,1,1.0,0.550576516017511
Quality Control & BC(A)R>ITP 02 Architectural>Carpark>00 Lower Gound,3,0.0,0.5496079810970096
Quality Control>ITP 04 M&E Services,7,0.2857142857142857,0.5482905700024505
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>1st to 2nd Floor,3,0.3333333333333333,0.5425725782038325
Quality Control>ITP 02 Architectural>Lvl 01 Floor Plan,1,0.0,0.539435208346551
Quality Control>ITP 02 Architectural>Level 00  Ground Floor,2,0.5,0.5388245164532969
QC & BC(A)R>ITP 01 Structural>Block 4>2nd Floor Plan,1,0.0,0.5373624892739393
QC & BC(A)R>ITP 01 Structural>Block 3>3rd Floor Plan,1,0.0,0.5373624892739393
QC & BC(A)R>ITP 01 Structural>Block 2>Foundations,1,0.0,0.5250951604916859
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Shower,2,0.5,0.5179059330935106
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>3. Courtyard (West Elevation)>5th to 6th Floor,2,0.5,0.5177919493960874
QC & BC(A)R>ITP 01 Structural>Block 3>5th Floor Plan,1,0.0,0.5163570903190895
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2>RM.02.230,2,0.0,0.5149021477776248
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Changing/ Locker Room,2,0.5,0.5101657164995592
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>5th Floor Plan>Common Areas>RM.05.633 - Corridor,1,0.0,0.5091862839563732
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2>RM.01.134,1,1.0,0.5081699261703218
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Retail / Foyer,4,0.5,0.5048024822542996
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>2nd to 3rd Floor,4,0.25,0.5012473053696207
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Male Changing/ :Locker Room,6,0.3333333333333333,0.500643065595946
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>19-L2-10 Culture Lab,4,0.25,0.4981369356499368
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 3>RM.03.373,1,0.0,0.4979363122177433
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>19-L2-45 Data Room,2,0.5,0.49655351656954216
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,4,0.5,0.48894498461712543
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Timber batten Ceiling Corridor,4,0.5,0.48866968921336545
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 1>RM.01.103,1,0.0,0.4875834945944016
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2>RM.01.146,1,0.0,0.4870406810749467
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>4. Courtyard (South Elevation)>4th to 5th Floor,1,0.0,0.4821222660607667
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>4th Floor Plan>Common Areas>R.04.443 Corridor,1,0.0,0.4750656815909713
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-50 Office 10,1,0.0,0.4681479556063148
Quality Control & BC(A)R>ITP 01 Structural>Substation 7&8,5,0.0,0.46670505863784495
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-48 Office 8,2,0.0,0.4606916463551318
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 1,3,0.6666666666666666,0.46026595198746595
QC & BC(A)R>ITP 01 Structural>Block 1>1st Floor Plan,2,0.0,0.451927656273318
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 3,1,0.0,0.4389681917736203
QC & BC(A)R>ITP 01 Structural>Block 2>Ground Floor Plan,2,0.0,0.43828066117273395
Quality Control & BC(A)R>ITP 02 Architectural>Block C>Lvl 00 Ground Floor>Toilets,1,0.0,0.4369537584849608
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 1,1,0.0,0.4358030265549542
Quality Control & BC(A)R>ITP 01 Structural>Block B,4,0.25,0.4268066766326847
Quality Control & BC(A)R>ITP 01 Structural>Block 1 & 2>2nd Floor Plan,2,0.5,0.42394234691317023
QC & BC(A)R>ITP 01 Structural>Block 3>4th Floor Plan,8,0.125,0.423853002038713
Quality Control & BC(A)R>ITP 02 Architectural>Carpark>01 Upper Ground,3,0.3333333333333333,0.4171786035161548
QC & BC(A)R,5,0.6,0.4168580095671512
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Common Areas>R.01.225 - Corridor,1,0.0,0.409800096759525
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Lifts>19-L1-67 Per Lift,1,0.0,0.3976259117490691
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-33 Open Offices 2,1,0.0,0.3947243144596276
Training Area>Sample Drawing 1,2,0.0,0.3911081275540069
Quality Control & BC(A)R>ITP 03 Civil Works>06 Firemain,9,0.1111111111111111,0.3896071363354952
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Ground Floor Plan,1,0.0,0.3852658724315415
QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,2,0.0,0.38087418913154064
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 1>RM.01.101,2,0.0,0.3744799407197277
