to_package,tasks,actual_overdue_rate,mean_predicted_risk
Precast Stairs & Landings,3,1.0,0.9946166629799639
Structural Engineer,1,1.0,0.9342124064042172
Architect,8,0.375,0.660653379935455
Punch Windows,19,0.47368421052631576,0.5958467508363209
Fire Stopping,17,0.5294117647058824,0.5887712651395373
Tiling,24,0.5833333333333334,0.5853736356038535
Partitions & Ceilings,10,0.5,0.49872700473676324
Unknown,202,0.23267326732673269,0.4615592411855893
Fire Consultant,6,0.16666666666666666,0.3826041996409646
Curtain Walling,9,0.1111111111111111,0.34286582099006785
Waterproofing,9,0.0,0.31613900560751085
Electrical,35,0.14285714285714285,0.27089659577465014
Ceilings & Partitions,38,0.10526315789473684,0.24224199900408006
Mechanical,21,0.09523809523809523,0.22781619039670772
Steel Doors,3,0.3333333333333333,0.21707310191740492
Construction Management,146,0.11643835616438356,0.1895759802105234
Concrete,78,0.05128205128205128,0.14543812481900406
Precast Concrete,63,0.015873015873015872,0.13998559034926028
Joinery,13,0.15384615384615385,0.138429210584367
Structural Steelwork,7,0.14285714285714285,0.12954451127137823
Glass,3,0.3333333333333333,0.1249661323806005
Formwork,73,0.1232876712328767,0.12086553867334608
Internal Partitions & Ceilings,110,0.06363636363636363,0.1042258157596996
Glazed Screens,6,0.0,0.08182960472916696
Groundworks & Drainage,111,0.018018018018018018,0.06536554643698798
Resin Flooring,14,0.0,0.05019041714069181
Structural Steel,31,0.06451612903225806,0.04788410690816036
Main Contractor,681,0.023494860499265784,0.03937443782731005
Assigned Certifier,5,0.2,0.03516502573921394
Concrete - Formwork,154,0.01948051948051948,0.016572924146503257
Painting,7,0.0,0.008263938893315403
Fireseal,11,0.0,0.006759188556716
"DPM, Waterproofing",1,0.0,0.0048520664289278
Roofing,11,0.0,0.003445427720208332
Scaffolding,70,0.014285714285714285,0.0029133888657689485
Temporary Electrics,17,0.0,0.0018671810760620647
Carpentry,21,0.0,0.0010864029433254405
Interior Design,5,0.0,0.0009171699155023
Drainage,10,0.0,0.0007929761722288504
Concrete Coring,2,0.0,0.0005509428957685
Concrete & Formwork,21,0.0,0.0003604512226681619
Piling,59,0.0,0.0003447588650613601
Plastering & Mouldings,3,0.0,0.00034261676349562714
Labour & Security,1,0.0,0.0003334670413711
Timber Framing,2,0.0,0.0003192722119962
Steelwork,1,0.0,0.0002893341097781
Surveying,1,0.0,0.0002651029984833
General Carpentry Works,4,0.0,0.0002591049744906668
Conservation,19,0.0,0.0001716531146548724
Mastclimbers,2,0.0,0.0001570614484979
Electrical Subcontractor,1,0.0,0.0001430272832163
Shrink Wrap,1,0.0,0.0001332905526739
Groundworks,62,0.0,0.00013233091501473705
Mechanical Piping,5,0.0,0.00011083468890936386
Labour,36,0.0,0.00010589968772928336
BSS Labour,1,0.0,0.0001021768444904
Hoarding,7,0.0,0.00010117835494915842
Secondary Steel,2,0.0,9.783670181536189e-05
Bathroom Pods,1,0.0,9.75704261574507e-05
Concrete Works,1,0.0,9.74596784675958e-05
Traffic Management,2,0.0,8.715267776524664e-05
Steel Handrails,2,0.0,7.424505783786317e-05
Steel Fixing,16,0.0,6.739293361721985e-05
Haul Road,10,0.0,5.631324839015636e-05
Archaeology,5,0.0,5.113111926822089e-05
Temporary Works,1,0.0,4.843439258719188e-05
Main Contractor - EHS,20,0.0,4.828441699820434e-05
Scaffolding Package,13,0.0,4.7637884210532366e-05
Ground Works,59,0.0,4.712975080647775e-05
Process Area Drainage,3,0.0,4.5804508360617345e-05
Demolition,43,0.0,4.277884720860544e-05
Fireproofing,2,0.0,3.959984908377065e-05
JPC Labour,12,0.0,3.8542005274754827e-05
Enabling Works,2,0.0,3.48870953042156e-05
Mechanical Strip Out,3,0.0,3.379228655926896e-05
Japanese Knotweed,3,0.0,3.247943481715643e-05
Cladding & Roofing,1,0.0,3.2333185573607774e-05
Ground Investigation,1,0.0,2.3395896292716724e-05
Concrete - Precast,1,0.0,1.984431531542388e-05
Blockwork / Brickwork,1,0.0,1.9414212238736444e-05
