type,tasks,actual_overdue_rate,mean_predicted_risk
Design Team - BCAR Mechanical,3,1.0,0.9722875383421953
Design Team - BCAR Electrical,2,1.0,0.9704931177330679
Design Team - Works To Go,18,0.7777777777777778,0.8616439241206258
JPC - Quality Defect (compliance),60,0.5666666666666667,0.725503880272458
Design Team - BCAR Architectural,53,0.4339622641509434,0.7082609107404134
Design Team - BCAR Structural,71,0.3380281690140845,0.6570593819183917
JPC - Quality Snag (aesthetic),83,0.3373493975903614,0.5822205609471315
JPC - Works To Go,89,0.39325842696629215,0.5702052761998808
JPC - BCAR Notification,2,0.0,0.4922524600607112
Design Team - BCAR Assign Certifier,30,0.06666666666666667,0.399872813530696
JPC - Upcoming Work Planning,14,0.07142857142857142,0.33319453416373535
Program Constraint Task (Last Planner),34,0.11764705882352941,0.3000554882604276
BCAR - Structural,12,0.16666666666666666,0.2799951598359651
Quality - Snag (aesthetic),16,0.0,0.22294669086024574
Quality - Works To Complete,2,0.0,0.17789868142651716
Design Team - Defect (Non BC(A)R),1,0.0,0.1196761947694366
Design Team Snag,3,0.0,0.10565580802893611
BCAR - Assign certifier,12,0.0,0.08251908054932418
Quality - Defect (compliance),2,0.0,0.08245145860603086
BCAR - Architectural,1,0.0,0.0451208108714344
SubCon - Fire Stopping Record,7,0.0,0.03741528889948026
Design Team - Good Quality Observation,9,0.0,0.032671981854491224
Quality - Good Observation,17,0.0,0.03242191471890426
Design Team - Snag (Non BC(A)R),2,0.0,0.025846174887543698
JPC - Good Quality Observation,17,0.0,0.02259885698336573
SubCon - Photo Record,1,0.0,0.0112632969308022
JPC - Material Delivery,1,0.0,0.0083538091969449
BCAR - Notification,1,0.0,0.006942340370973
JPC - Progress Photo,128,0.0,0.003133985938799661
Safety Notice (Red) - Serious Issue,11,0.0,0.0002707387318901303
Safety Notice (Amber) - General Issue,1116,0.0,0.00025701683422151976
Safety Notice (Green) - Good Observation,667,0.0,0.00023756206506393284
